50,13.02.2026 12:03:31,24.8,24.8,971.6,24.7,16.4,7001,56.06522,36.23429,1.0.1,09.02.2026,0.2905,,,,25,MegaFon,50,3802,866782045222698,2026-02-13 12:04:18,13.02.2026 12:03:58
51,13.02.2026 12:04:57,24.8,24.9,971.6,25,16.4,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29051,,,,25,MegaFon,50,3807,866782045222698,2026-02-13 12:05:25,13.02.2026 12:05:23
52,13.02.2026 12:08:29,24.8,25.4,971.7,24.7,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29052,,,,24,MegaFon,48,3785,866782045222698,2026-02-13 12:08:56,13.02.2026 12:08:55
53,13.02.2026 12:10:29,24.7,25.3,971.7,24.7,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29053,,,,23,MegaFon,52,3824,866782045222698,2026-02-13 12:10:58,13.02.2026 12:10:56
54,13.02.2026 12:12:30,24.6,25.8,971.7,24.7,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29054,,,,22,MegaFon,57,3862,866782045222698,2026-02-13 12:12:58,13.02.2026 12:12:56
55,13.02.2026 12:22:24,24.5,26,971.8,24.5,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29055,,,,24,MegaFon,52,3824,866782045222698,2026-02-13 12:22:50,13.02.2026 12:22:49
56,13.02.2026 12:32:20,24.1,26.3,971.8,24.5,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29056,,,,25,MegaFon,49,3796,866782045222698,2026-02-13 12:32:48,13.02.2026 12:32:47
57,13.02.2026 12:42:18,23.2,27.1,972,23.5,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29057,,,,25,MegaFon,47,3780,866782045222698,2026-02-13 12:42:46,13.02.2026 12:42:45
58,13.02.2026 12:52:15,22.3,28.1,972.1,22.8,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29058,,,,24,MegaFon,50,3807,866782045222698,2026-02-13 12:52:42,13.02.2026 12:52:41
59,13.02.2026 13:02:12,21.6,28.7,972.1,22,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.30059,,,,24,MegaFon,52,3824,866782045222698,2026-02-13 13:02:39,13.02.2026 13:02:38
60,13.02.2026 13:12:12,21,29.1,972.2,21.2,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.3006,,,,24,MegaFon,57,3856,866782045222698,2026-02-13 13:12:40,13.02.2026 13:12:39
61,13.02.2026 13:22:11,20.6,31.7,972.1,20.8,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.30061,,,,24,MegaFon,55,3846,866782045222698,2026-02-13 13:22:39,13.02.2026 13:22:37
62,13.02.2026 13:32:08,20.8,31.3,972,21.2,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29062,,,,18,MegaFon,48,3791,866782045222698,2026-02-13 13:32:38,13.02.2026 13:32:37
63,13.02.2026 13:42:09,20.4,32.9,972.1,21.2,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29063,,,,21,MegaFon,52,3824,866782045222698,2026-02-13 13:42:36,13.02.2026 13:42:35
69,13.02.2026 14:44:19,23.9,30.3,972.2,25.5,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29069,,,,21,MegaFon,52,3818,866782045222698,2026-02-13 14:44:45,13.02.2026 14:44:44
78,13.02.2026 15:22:40,24.1,26.1,972,24.7,18.6,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29,12.24,29,358.0078,19,MegaFon,57,3862,866782045222698,2026-02-13 15:23:08,13.02.2026 15:23:07
83,13.02.2026 15:36:13,23.4,26.4,972.1,24.3,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29,12.3,80.9,992.0083,20,MegaFon,59,3878,866782045222698,2026-02-13 15:36:42,13.02.2026 15:36:40
84,13.02.2026 15:38:07,23.2,25.8,972.1,24,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29,12.25,29.1,360.0084,21,MegaFon,52,3824,866782045222698,2026-02-13 15:38:34,13.02.2026 15:38:33
85,13.02.2026 15:39:58,23,26,972.1,23.7,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29,12.26,29.3,360.0085,20,MegaFon,59,3873,SMS Ready,2026-02-13 15:40:27,13.02.2026 15:40:25
86,13.02.2026 15:41:51,22.8,25.7,972.1,23.3,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29,12.26,83,360.0086,19,MegaFon,61,3889,866782045222698,2026-02-13 15:42:18,13.02.2026 15:42:18
87,13.02.2026 15:43:42,22.5,25.7,972.1,23,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29,12.26,29.1,358.0087,20,MegaFon,59,3873,866782045222698,2026-02-13 15:44:07,13.02.2026 15:44:06
88,13.02.2026 15:45:31,22.2,26.1,972.1,23,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.29,12.27,29.2,358.0088,20,MegaFon,58,3867,866782045222698,2026-02-13 15:46:01,13.02.2026 15:46:00
89,13.02.2026 15:47:24,22.1,26.7,972.1,22.8,85,7001,56.06522,36.23429,1.0.1,09.02.2026,0.3,12.25,29.6,364.0089,21,MegaFon,45,3763,866782045222698,2026-02-13 15:47:52,13.02.2026 15:47:51
